provider,provider_id,provider_slug,plan_title,capacity,period,price,price_usd_promo,price_usd_base,promo_zero_any,base_zero_any,coverage_count,scope_pref,plan_id
Yoho Mobile,63760bdc4e2b1c13f365b600,yoho-mobile,Global C 300MB/Daily 10Day,300 MB/day,10 Days,50.31,,50.31,False,False,1,2,68c891f4fd7fabd3fef9fe3d
GLOBAL YO,63c52208de7c07fba95ec104,yoverse,Day Plan - Europe Explorer (Stand w'Ukraine) - 1GB/Day - 30 Day,1000 MB/day,30 Days,45.89,45.89,50.39,False,False,0,1,68c84cc89bf54bb050617c8f
eSimFlare,67f32a92d392d55306110f1a,esimflare,Europe 1GB/Day,1000 MB/day,10 Days,50.4,,50.4,False,False,0,1,68a8a357bb78507dd9086004
Yesim,5d4a55600c59513ea8d90d02,yesim,France,0 MB,30 Days,44.558306,44.558306,50.421241,False,False,1,0,68c7e88a909a70033452d414
Yesim,5d4a55600c59513ea8d90d02,yesim,Europe &amp; UK,0 MB,30 Days,44.558306,44.558306,50.421241,False,False,1,1,68c7e88a909a70033452d526
mobineX,663a2caf5fddf2d5b402fd46,mobinex,20 GB - 30 days,20000 MB,30 Days,45.45,45.45,50.5,False,False,0,0,68c77a122468ddd07791a13d
Gaza Online,67e16466ddb1a2946defdd74,gazaonline,"eSIM, 3GB, 30 Days, Global",3000 MB,30 Days,50.5,,50.5,False,False,0,2,68c75e7db9cb75f905872292
nextSIM,67f0abeb2a0a3aefec7a4e0f,nextsim,eSIM Unlimited Plus 15 Days France,2000 MB/day,15 Days,49.033718802900005,49.033718802900005,50.55022557,False,False,0,0,68bff4d6a924d9c70e0ddfba
Yoho Mobile,63760bdc4e2b1c13f365b600,yoho-mobile,Global E 2GB/Daily 10Day,2000 MB/day,10 Days,50.56,,50.56,False,False,1,2,68c891f7fd7fabd3fefa8328
eSIM Fox,65426f4c477e1c0a0cff1078,esim-fox,eSIM France - 50GB 30 Days,50000 MB,30 Days,50.59,,50.59,False,False,1,0,68a8a064bb78507dd9fd0549
Billion Connect,5eb95317a5faaf0b7dfa9b24,billionconnect,Europe eSIM [41 countries] 30 Days 3GB/Day,3000 MB/day,30 Days,45.66,45.66,50.73,False,False,1,1,68c867741c43a850e7c32b30
ByteSIM,67da4da6ff6041b77e7c4db1,bytesim,France 50GB for 10 days,50000 MB,10 Days,50.9,,50.9,False,False,0,0,68c77b162468ddd077932df0
Truely,6686050b234c9994fcbd5060,truely,"France - Unlimited, 15 days",0 MB,15 Days,45.83,45.83,50.92,False,False,1,0,68a8a1a2bb78507dd90186ac
Truely,6686050b234c9994fcbd5060,truely,"Europe - Unlimited, 15 days",0 MB,15 Days,45.83,45.83,50.92,False,False,1,1,68a8a1aabb78507dd9020a25
Textr eSIM,63c9055d1fddfcd02ef84f69,textr,Global 3GB,3000 MB,30 Days,50.97,,50.97,False,False,0,2,68c88443d6f1c413da43d69e
MicroEsim,65fd5b85efc7ee1e3444055a,microesim,Europe 5G 49 Destinations 15 Days / Daily 3GB,3000 MB/day,15 Days,49.98,49.98,50.98,False,False,1,1,68c72573418c34d5c8aabf24
eSIMCard,6764f0cca7e04a963bb3a185,esimcard,"eSIM, 20GB, 31 Days, Global, Unthrottled",20000 MB,31 Days,45.89,45.89,50.99,False,False,0,2,68c27dead67509eadbfdec41
Stork Mobile,5d4119b043734f666095aedd,storkmobile,Europe,10000 MB,30 Days,50.99,,50.99,False,False,0,1,68a89ed5bb78507dd9f6fdd8
Gaza Online,67e16466ddb1a2946defdd74,gazaonline,"eSIM, 50GB, 180 Days, France",50000 MB,180 Days,51.0,,51.0,False,False,0,0,68c75e81b9cb75f90587527f
Yoho Mobile,63760bdc4e2b1c13f365b600,yoho-mobile,Europe G 3GB/Daily 30Day,3000 MB/day,30 Days,51.06,,51.06,False,False,1,1,68c89200fd7fabd3fefb48a3
abesteSIM,6875cc9ee40f4fd4c110ce88,abestesim,Europe (49 Destinations) - 20 Days/Daily 3GB,3000 MB/day,20 Days,51.263837315828184,,51.263837315828184,False,False,1,1,68bfdb4f8525b2c8ebf53607
eSIMania,67fcf6bbbbc312c4799a2e78,esimania,Global139 1.02GB for 365 days,1000 MB,365 Days,48.74,48.74,51.3,False,False,0,2,68c00328a242d9b3034b0f29
BNESIM,6284ecd32e3b6ce037733d6e,bnesim,Surf 10GB in Mini Global per 30 days,10000 MB,30 Days,43.615546052,43.615546052,51.31240712,False,False,0,2,68c5a8495fee308d1b933088
Earth Esim,6747c8e603e7509b3dc0bfc3,earth-esim,50GB/180 Days Europe Region eSIM,50000 MB,180 Days,51.35,,51.35,False,False,0,1,68c8164369982fcf6c77f14f
LinkeSIM,6760c58e8c8ea74873b8bca7,linkesim,Colombia 10 GB for 15 days,10000 MB,15 Days,51.4,,51.4,False,False,0,0,68c893dffd7fabd3fefdca03
eSimFlare,67f32a92d392d55306110f1a,esimflare,Europe 20GB 30Days,20000 MB,30 Days,51.5,,51.5,False,False,0,1,68a8a356bb78507dd9084e84
mobineX,663a2caf5fddf2d5b402fd46,mobinex,20 GB - 30 days,20000 MB,30 Days,46.35,46.35,51.5,False,False,0,0,68c77a132468ddd07791bf34
GIGAGO,645a23dbc6a3d88eeb76b9ea,gigago,Europe eSIM 33 Countries - Data+Calls,1000 MB/day,15 Days,48.93,48.93,51.5,False,False,0,1,68c797c830b8084fddce27a7
