plan_id,provider_id,provider_name,plan_name,data_mb,validity_days,data_cap_per,usd_price,usd_promo_price,effective_price,is_promo,price_cad,new_user_only,promo_enabled,can_top_up,subscription,pay_as_you_go,ekyc,speed_limit,reduced_speed,possible_throttling,has_5g,tethering,has_ads,num_countries,data_display,validity_display
68dce09058336369136a0625,656ef630e60950c9a706e6ff,Jetpac,North America 3GB,3000,4,,11.5,7.5,7.5,True,10.4226525,False,True,False,False,False,False,,,False,False,True,False,2,2.9GB,4 days
68f0bf47a3a69dc9b16abf1e,68f051d5d01131159d49987f,Virgin Connect Roam,North America 3GB for 30 days,3000,30,,11.5,,11.5,False,15.9814005,False,True,True,False,False,False,,,False,False,True,False,4,2.9GB,30 days
690288488c69c31d2a64baf8,67f32a92d392d55306110f1a,eSimFlare,North America 500MB/Day,500,5,day,11.5,,11.5,False,15.9814005,False,True,True,False,False,False,,384.0,False,False,True,False,3,500MB,5 days
6955433a4622035a7ddc6ba1,691a70e2a3dd350531e33c74,eSimfly,North America 3GB 30Days,3000,30,,11.51,10.9345,10.9345,True,15.195532501499999,False,True,True,False,False,False,,,False,False,True,False,3,2.9GB,30 days
6955433b4622035a7ddc6f69,691a70e2a3dd350531e33c74,eSimfly,USA &amp; Canada 5 GB 30 Days,5000,30,,11.54,10.963,10.963,True,15.235138580999998,False,True,True,False,False,False,,,False,False,True,False,2,4.9GB,30 days
68dc672cadbaffe4b0eaebee,65fd5b85efc7ee1e3444055a,MicroEsim,North America (US &amp; Canada &amp; Mexico) 5G 7 Days / Total 5GB,5000,7,,11.57,10.57,10.57,True,14.688991589999999,False,True,False,False,False,False,,128.0,False,False,True,False,3,4.9GB,7 days
696244e250a9dd7bb88ce52d,645a23dbc6a3d88eeb76b9ea,GIGAGO,USA Mexico eSIM,3000,1,day,11.58,11.001,11.001,True,15.287946686999998,False,True,,False,False,,,,False,False,,False,2,2.9GB,1 days
696244e250a9dd7bb88ce4b8,645a23dbc6a3d88eeb76b9ea,GIGAGO,USA Canada eSIM,2000,1,,11.58,11.001,11.001,True,15.287946686999998,False,True,,False,False,,,,False,False,,False,2,2.0GB,1 days
690288478c69c31d2a64b7aa,67f32a92d392d55306110f1a,eSimFlare,North America 3GB 15Days,3000,15,,11.6,,11.6,False,16.1203692,False,True,True,False,False,False,,,False,False,True,False,3,2.9GB,15 days
6943cb35ac912a002c10db7a,6943428c276fe61c43f578a8,PikaSim,North America 3GB 15Days,3000,15,,11.6,,11.6,False,16.1203692,False,True,,False,False,,,,False,False,,False,3,2.9GB,15 days
695b7965416085d0b7d95810,695996a7f995e904852dff0a,Voyasim,North America 3GB 15Days,3000,15,,11.6,10.44,10.44,True,14.508332279999998,False,True,,False,False,,,,False,False,,False,3,2.9GB,15 days
68dcc8fcd08bf4821b68cf77,63760bdc4e2b1c13f365b600,Yoho Mobile,North American 3GB 5Day,3000,5,,11.71,,11.71,False,16.27323477,False,True,False,False,False,False,,128.0,False,False,True,False,5,2.9GB,5 days
695b311a55a3cad380911aee,6875cc9ee40f4fd4c110ce88,abesteSIM,North America (US &amp; Canada &amp; Mexico) 5G - 30 Days/Total 5GB,5000,30,,11.726120382273589,,11.726120382273589,False,16.295637055680636,False,True,False,False,False,False,,128.0,False,False,True,False,3,4.9GB,30 days
695b311a55a3cad380911a58,6875cc9ee40f4fd4c110ce88,abesteSIM,North America (US &amp; Canada &amp; Mexico) 5G - 10 Days/Daily 500MB,500,10,day,11.726120382273589,,11.726120382273589,False,16.295637055680636,False,True,False,False,False,False,,128.0,False,False,True,False,3,500MB,10 days
690288478c69c31d2a64b7ab,67f32a92d392d55306110f1a,eSimFlare,North America 3GB 30Days,3000,30,,11.8,,11.8,False,16.3983066,False,True,True,False,False,False,,,False,False,True,False,3,2.9GB,30 days
6943cb34ac912a002c10d7e6,6943428c276fe61c43f578a8,PikaSim,North America 3GB 30Days,3000,30,,11.8,,11.8,False,16.3983066,False,True,,False,False,,,,False,False,,False,3,2.9GB,30 days
695b7966416085d0b7d95a40,695996a7f995e904852dff0a,Voyasim,North America 3GB 30Days,3000,30,,11.8,10.620000000000001,10.620000000000001,True,14.75847594,False,True,,False,False,,,,False,False,,False,3,2.9GB,30 days
68da253a184401d0d814c3b4,5d16f93191d4f93192b3349c,RedteaGO,USA &amp; Canada,5000,30,,11.9,11.305,11.305,True,15.710411534999999,False,True,,False,False,,,,False,False,,False,2,4.9GB,30 days
68dab53aef4f54f532e28749,683f99e07ee7f5a961c0c859,Strong eSIM,North America 3GB/Day,3000,1,,11.9,,11.9,False,16.5372753,False,True,True,False,False,False,,,False,False,True,False,3,2.9GB,1 days
68dab53cef4f54f532e2892a,683f99e07ee7f5a961c0c859,Strong eSIM,USA &amp; Canada 3GB 30Days,3000,30,,11.9,,11.9,False,16.5372753,False,True,True,False,False,False,,,False,False,True,False,2,2.9GB,30 days
68ca8eec5c57dc6cfeede8c8,682d271c08820152a644c1ce,ChillaxSIM,US &amp; Canada  1GB/day for 3 days,1000,3,day,11.9,8.9,8.9,True,12.3682143,False,True,False,False,False,False,,128.0,False,False,True,False,2,1000MB,3 days
696244e250a9dd7bb88ce49f,645a23dbc6a3d88eeb76b9ea,GIGAGO,USA Canada eSIM,500,7,day,11.92,11.324,11.324,True,15.736815587999999,False,True,,False,False,,,,False,False,,False,2,500MB,7 days
695b7561acee409245b372b6,65fd5b85efc7ee1e3444055a,MicroEsim,US &amp; Canada 10 Days / Total 5GB,5000,10,,11.95,10.95,10.95,True,15.217072649999999,False,True,False,False,False,False,,,False,False,True,False,2,4.9GB,10 days
6961ab8a865bb3a3449a57a6,67f0abeb2a0a3aefec7a4e0f,nextSIM,eSIM North America 3GB 30Days Economy,3000,30,,11.9606976,11.601876672,11.601876672,True,16.122977186681663,False,True,False,False,False,,,,False,False,,False,2,2.9GB,30 days
68dbe83f811e14b1d9ba22e8,640e71222097580dd4a88d0b,EtravelSIM,North America eSIM 5 GB - 30 Days,5000,30,,11.99,10.791,10.791,True,14.996112416999999,False,True,,False,False,,,,False,False,,False,3,4.9GB,30 days
690e0f859911238f31e66d2e,6645ebd70ee8bdf7b1b24ed2,Breeze,North America,7000,30,,12.0,10.8,10.8,True,15.0086196,False,True,True,False,False,False,,,False,False,False,False,5,6.8GB,30 days
68d50c0800caad49ca950e7c,66ac21966d047ed956f30520,iRoamly,USA &amp; Canada-eSIM-5GB-3 Days-Total,5000,3,,12.0,,12.0,False,16.676243999999997,False,True,False,False,False,False,,,False,False,True,False,2,4.9GB,3 days
68dce09058336369136a0626,656ef630e60950c9a706e6ff,Jetpac,North America 5GB,5000,4,,12.0,8.0,8.0,True,11.117496,False,True,False,False,False,False,,,False,False,True,False,2,4.9GB,4 days
68a8a283bb78507dd9058748,673159aa72d09200e94affe3,Simbye,North America 3GB 30Days,3000,30,,12.0,,12.0,False,16.676243999999997,False,False,False,False,False,False,,,False,False,True,False,3,2.9GB,30 days
68d50c0800caad49ca950e7a,66ac21966d047ed956f30520,iRoamly,USA &amp; Canada-eSIM-3GB-15 Days-Total,3000,15,,12.0,,12.0,False,16.676243999999997,False,True,False,False,False,False,,,False,False,True,False,2,2.9GB,15 days
68dc92afb3260a0aac7cb92c,67f7ef2af6193863e84220a1,alodata,eSIM 3GB for 30 Days in North America,3000,30,,12.0,9.6,9.6,True,13.340995199999998,False,True,False,False,False,False,,,False,False,True,False,3,2.9GB,30 days
68cb44719e5ee30c7a43a4ae,66d97b236734f85a8761a32d,Keep On Roaming,KOR-North America-2000MB-15D,2000,15,,12.0,,12.0,False,16.676243999999997,False,True,False,False,False,False,,,False,False,True,False,3,2.0GB,15 days
68d68771ec4e8905c41aa3bb,67234c91e7fe43281f91e226,MobileSIM,North America 2 GB for 15 days,2000,15,,12.0,,12.0,False,16.676243999999997,False,True,True,False,False,,,,False,False,,False,3,2.0GB,15 days
696244e250a9dd7bb88ce454,645a23dbc6a3d88eeb76b9ea,GIGAGO,USA Canada eSIM,2000,3,,12.01,11.4095,11.4095,True,15.855633826499998,False,True,,False,False,,,,False,False,,False,2,2.0GB,3 days
695b311f55a3cad3809124d8,6875cc9ee40f4fd4c110ce88,abesteSIM,US &amp; Canada - 5 Days/Total 10GB,10000,5,,12.076269962368022,,12.076269962368022,False,16.782235375193327,False,True,False,False,False,False,,,False,False,True,False,2,9.8GB,5 days
69398368602ebde407fdcb41,669ecc2324128bc08c341abe,airdatalink,"North America eSIM (US, CA, MX)",5000,30,,12.076394576490769,11.47257484766623,11.47257484766623,True,15.94328812232874,False,True,False,False,False,False,,,False,False,True,False,3,4.9GB,30 days
694b5185deccdcd71793b642,6875cc9ee40f4fd4c110ce88,abesteSIM,US &amp; Canada - 3 Days/Unlimited,0,3,,12.177424285506415,,12.177424285506415,False,16.922808223052552,False,True,False,False,False,False,,,True,False,True,False,2,0MB,3 days
68ca537203d03be57575589d,60acd76e464f901c1fcceb7c,eSIMplus,"US, Canada &amp; Mexico | eSIM QR Code | 30 / 3GB",3000,30,,12.191913832089707,11.550234156716565,11.550234156716565,True,16.051210254544973,False,True,,False,False,,,,False,False,,False,3,2.9GB,30 days
691451b8039270c648c0aa0f,60acd76e464f901c1fcceb7c,eSIMplus,USA+Canada | eSIM QR Code | 14 / Total / 3GB,3000,14,,12.191913832089707,11.550234156716565,11.550234156716565,True,16.051210254544973,False,True,,False,False,,,,False,False,,False,2,2.9GB,14 days
68dc672badbaffe4b0eaeae3,65fd5b85efc7ee1e3444055a,MicroEsim,North America (US &amp; Canada &amp; Mexico) 5G 10 Days / Total 5GB,5000,10,,12.21,11.21,11.21,True,15.57839127,False,True,False,False,False,False,,128.0,False,False,True,False,3,4.9GB,10 days
69619f04edcc1df53673e902,6949cc418713b4e8c5e03862,MoodSIM,USA &amp; Canada 5 GB 30 Days,5000,30,,12.22,,12.22,False,16.98197514,False,True,True,False,False,False,,,False,False,True,False,2,4.9GB,30 days
