plan_id,provider_id,provider_name,plan_name,data_mb,validity_days,data_cap_per,usd_price,usd_promo_price,effective_price,is_promo,price_cad,new_user_only,promo_enabled,can_top_up,subscription,pay_as_you_go,ekyc,speed_limit,reduced_speed,possible_throttling,has_5g,tethering,has_ads,num_countries,covers_all_target,data_display,validity_display
68dcc8f8d08bf4821b68ccd1,63760bdc4e2b1c13f365b600,Yoho Mobile,Europe A Unlimited 10Day,0,10,,27.4,,27.4,False,37.963248,False,True,False,False,False,False,5000.0,,True,False,True,False,44,True,0MB,10 days
68db770e35850fa8f214d132,5eb95317a5faaf0b7dfa9b24,Billion Connect,Global eSIM [87 Regions] 7 Days 5GB,5000,7,,27.43,24.686999999999998,24.686999999999998,True,34.20433224,False,True,,False,False,,,128.0,False,False,True,False,87,True,4.9GB,7 days
692e08d1007df1baffe1db04,67d42f6255619141b6762338,Giga.Tel,"Europe 31 countries, 10GB/day",10000,10,day,27.49,,27.49,False,38.0879448,False,False,False,False,False,False,,128.0,False,False,False,False,31,True,9.8GB,10 days
69306480e9f167c30f3c5ba2,6627986cc0a5b22838c8b741,Kolet,,3000,30,,27.49,21.991999999999997,21.991999999999997,True,30.47035584,False,True,,False,False,,,,False,False,,False,132,True,2.9GB,30 days
6903bb59260a5cc96d1e8749,645a23dbc6a3d88eeb76b9ea,GIGAGO,Europe eSIM 33 Countries (no France),20000,10,,27.5,26.125,26.125,True,36.19671,False,True,,False,False,,,,False,False,,False,33,True,19.5GB,10 days
6903bb59260a5cc96d1e87ad,645a23dbc6a3d88eeb76b9ea,GIGAGO,Europe &amp; UK eSIM,20000,10,,27.5,26.125,26.125,True,36.19671,False,True,,False,False,,,,False,False,,False,33,True,19.5GB,10 days
691ab42af5b9d0267faa06fe,6907d3a856b42f8e37b280bd,Soovia eSIM,Europe 5GB 30 Days,5000,30,,27.5,,27.5,False,38.101800000000004,False,True,True,False,False,False,,,False,False,True,False,41,True,4.9GB,30 days
692514041d67e1c0a908852f,663a2caf5fddf2d5b402fd46,mobineX,5 GB - 7 days,5000,7,,27.5,24.75,24.75,True,34.29162,False,True,True,False,False,False,,,False,False,,False,49,True,4.9GB,7 days
68dbe83f811e14b1d9ba226b,640e71222097580dd4a88d0b,ETravelSim,Europe eSIM Unlimited - 10 Days / Data Only,4000,10,day,27.5,24.75,24.75,True,34.29162,False,True,,False,False,,,128.0,False,False,,False,35,True,3.9GB,10 days
6927b6a7aa0eb583a915ead6,663a2caf5fddf2d5b402fd46,mobineX,3 GB - 7 days,3000,7,,27.5,24.75,24.75,True,34.29162,False,True,True,False,False,False,,,False,False,,False,114,True,2.9GB,7 days
68dcc9cfd08bf4821b692a2b,6645ebd70ee8bdf7b1b24ed2,Breeze,Europe+,1000,15,day,27.5,24.75,24.75,True,34.29162,False,True,True,False,False,False,,,False,False,False,False,36,True,1000MB,15 days
6903bb59260a5cc96d1e876e,645a23dbc6a3d88eeb76b9ea,GIGAGO,Europe eSIM 33 Countries (no France),1000,20,day,27.5,26.125,26.125,True,36.19671,False,True,,False,False,,,,False,False,,False,33,True,1000MB,20 days
6903bb59260a5cc96d1e87a0,645a23dbc6a3d88eeb76b9ea,GIGAGO,Europe &amp; UK eSIM,1000,20,day,27.5,26.125,26.125,True,36.19671,False,True,,False,False,,,,False,False,,False,33,True,1000MB,20 days
68dc6733adbaffe4b0eafce8,65fd5b85efc7ee1e3444055a,MicroEsim,Europe &amp; Asia &amp; US 41 Countries 5 Days / Total 20GB,20000,5,,27.51,26.51,26.51,True,36.73013520000001,False,True,False,False,False,False,,,False,False,True,False,41,True,19.5GB,5 days
